input_text,output_text
"Before I begin, let me tell you how GREAT this stand-up special sounds when you play Sonic Adventure I DX: Director's Cut at the same time (Red Mountain level in particular). So while watching this stand-up special, I suggest-- no, DEMAND you do it. Carlos Mencia takes his stand-up to the extreme in San Francisco, California. There, he makes fun of everybody with absolutely NO apologies. I am pretty much thanking God here that Carlos didn't do his thing in which he uses the same joke over and over and over and over and over again. He does a tremendous job making fun of everyone and at the same time be truthful about it; I know a couple of times I said, after Carlos said a joke, ""Damn, this guy makes a good point!"" And then the Game Over screen came over my TV because I forgot I was playing Sonic Adventure I DX: Director's Cut. My bad :) So yeah, there's nothing to complain about this stand-up special. If you have TiVo or something like that, please do yourself a favor and record this historic hour.",positive
"The biggest mystery of Veronica Mars is not one that she had to tackle on screen. Rather, the mystery is why this perennial ratings disappointment is still on the air. This week marked a nadir for Veronica Mars: it ranked 146 out of 146 shows in the big 6 (soon to be Big 5). Yes, you read right. Veronica Mars was beaten by every show of the now-defunct WB and every show on UPN. It was beat by all the shows on Fox and of course by all the shows on ABC, CBS and NBC. Now, the hip hypesters are going to say: but this was a re-run. But everything on TV that week was pretty much a re-run! It boggles the mind why CW would choose this proved ratings disappointment as one of the few shows it saved from UPN. Clearly something is going on behind the scenes. Favors are being exchanged and influence peddled. Sorry to be so cynical, but what other explanation is there? The ""Veronica Mars has potential"" line is clearly dead now that it's had two years to establish itself and failed to do so. Maybe it's Joel Silver's influence and clout, but frankly, I am at a loss why anyone would choose to spend their clout on a bad show that no audience is watching. A great mystery and a very inauspicious debut for CW.",negative
"As part of the celebration of the release of Casino Royale, this film with the new Bond starring in it was shown, from director Roger Michell (Notting Hill). I almost turned it off for being a bit boring, but I'm glad I stuck with it. Basically May (Anne Reid) is a single mother of Helen (Anna Wilson-Jones) who hardly sees anyone and has not had a boyfriend in years. Her daughter says that she might want to get married to her new boyfriend, Darren (Daniel Craig, of course). After knowing each other only a few days, May and Darren have a secret affair. And at her age, with a 30-something, and the new Bond?! Anyway, they obviously want to keep it a secret, but May has regrets and wonders if Helen will find out. When she does, Darren gets less hassle than May. In fact, Helen asks her permission to hit her. Also starring Peter Vaughan as Toots, Danira Govich as Au Pair, Harry Michell as Harry, Rosie Michell as Rosie and Johnny English's Oliver Ford Davies as Bruce. Very good!",positive
"I loved watching the original Azumi with its mix of live action manga, compelling storyline, cool soundtrack, directing (Kitamura rocks!), editing, and not to mention the beautiful Aya Ueto who filled the part perfectly. So I was really looking forward to seeing Azumi 2, but after finally seeing it I felt like i had won the lotto and lost the ticket:( Azumi 2 picks up where Azumi left off, however these are completely 2 different movies. The pace is a lot slower, the action is not as exciting and as well choreographed and there is not a lot of character development. This was apparently directed by the same guy responsible for further reducing the value of the TOHO monster franchise (if that is possible!). I agree with some other past reviewers who say that this was a lost opportunity. If only Ryuhei Kitamura continued with this installment. There is however some beautiful Japanese forest scenery to look at while the slow action unfolds and we are introduced all too briefly to bit characters who quickly get killed off. Even the real bad guys, get killed off too easily without too much of a fight. The fight with the Spider guy (straight out of an episode of Monkey!) in the bamboo forest was about the only memorable fight scene. Wheras in Azumi 1 we had a climactic fight scene with barrel camera effects, Azumi 2 brought us the Azumi cape cam!! Azumi's rampage at the end was unconvincing, but Aya still does an okay job. She looks great in the cape...but where did she get it from? I don't think i will be watching this one over and over again! ...what a pity.",negative
"This is a great film in many different ways...perhaps the most important is that it introduces Western audiences to the remarkable, tragic story of Aung San Suu Kyi and her fight for freedom and democracy. Wonderful acting, gorgeous cinematography, breathtaking action and suspense: ""Beyond Rangoon"" has everything. I've seen this movie several times over the last ten years and each time it means more to me. Not everyone will like it (hence the relatively low rating on IMDb), but that's because it is not conventional Hollywood dumbtainment; rather, it challenges the viewer on several levels. I've never watched it without sobbing at the end and promising to live a more meaningful life.",positive
"After what I thought was a masterful performance of two roles in Man From Snowy River, WHY was Kirk Douglas replaced by Brian Dennehy in the sequel? It just wasn't the same without Spur and Harrison, as portrayed by Douglas. Maybe he recognized how poor the plot was--Jim returns after extended absence, to find Jessica being pursued by another man. He could not expect any girl to wait that long with no contact from him, and not find competition. For a Disney movie, this contains foul language, plus the highly unnecessary part when Jim & Jessica shacked up without being married--very LAME. Quite an insult to viewer intelligence, according to members of my family. I'll stick with the first one, and try to forget I ever saw the sequel!",negative
"Meaning: if this movie got pitched, scripted, made, released, promoted as something halfway respectable given the constraints (yeah, I know, Springer, sex, violence), where is He? Reminded me of porn movies I saw in college, plot and dialogue wise.... shoulda just done something for the scurrilous porno market, showed penetration and be done with it-- would have made more money, the ultimate point of this exercise....",negative
"How any of you gave this more than 2 stars amazes me. I made an account on IMDb just to comment on this cr@p film. The acting is cr@p and the plot is cr@p. It would deserve no stars at all if it weren't for the descent soundtrack (and yet there are still some outrageously clownish tracks in there too, most notably the ones featuring the oboe and sound like black and white cartoon comedy background music and in no way fit the intended mood of the scenes that they haunt) and quality cinematography. The dialog and plot are about as complex as that of a Dr. Sues book. These actors are horrible. I am actually watching this movie right now and, with every word, am stunned you all swallowed this shitte. The only reason I didn't turn the movie off was because I have gotten wrapped up in creating an account on IMDb and posting this review. I dig mainstream films, I dig silly stupid films, I dig retro indie films, and nearly any other type/genre if carried out well. My brother convinced me to rent this because he said he heard it was good and he generally has great taste in movies; from the moment he told me the title I looked at him like he was crazy. I'm having a tough time ending this rant because there is just so much badness to talk about. The only way I can rationalize the good ratings on here is that you guys were paid to give this movie high ratings. It is so poorly done and no where close to dramatic, artsy, complex, well written, well preformed, or even bearable. If this was the final product of my hard directorial work, I would be to embarrassed to release it to the public, so I don't even feel sorry for the director if he reads this -- what the hell were you thinking guy?",negative
"I caught this during a brief run in a Philadelphia theater. Despite its local provenance (and its relation to a hometown tragedy, namely the beating death of Eddie Polec in 1994), I really have to come down hard on this movie. The director, for reasons best known to himself, decided to shoot the entire film guerilla-style, with nonstop handheld cameras and rapidfire cuts. Such technique might work for the scenes of jarring violence, but is utterly inappropriate for the rest of the material, which makes up the majority of the film. A stroll down the sidewalk, a brother-to-brother discussion on a sofa, hell, even a kiss on a first-date are all shot cusinart-style, distracting this viewer from ever being able to enter into the drama. Martin also undercuts his narrative by packing in far too many topics: besides the birth of mob violence, we get anorexia, alcoholism, divorce, racism, parental abuse...did I miss anything? No doubt a better cast (and a better-focused direction) would have knit these threads together, as Martin surely intended, to demonstrate how one moral flaw leads into and sustains a host of others...but good intentions do not necessarily a great film make. Just a sprawling mess. Martin, I know you're from my town, and I'm down with you man, I really am...just do a better job next time, like you did in Two Plus One.",negative
midnight madness is the ultimate scavenger hunt movie for all time. michael j fox and paul reubens make respective pre- fame appearances. laughs abound everywhere and the intrigue of who will emerge victorious at the end of the great all-nighter will keep you on the proverbial edge of your seat. a true must see!,positive
"Well...it's about time! Van Damme is back and kicking in this action thriller that's his best film in recent years. The plot isn't too inventive but the whole border patrol theme is interesting and the ex-marines as drug smugglers twist is cool. But what makes this movie awesome is the fact that Van Damme is back to doing martial arts again. His latest films have been more acting oriented, but in ""The Shepard"", JCVD is back to dropping the bad guys and looks to be in excellent shape. There are some impressive fight scenes and Van Damme shows he can still pull out the old famous 360-spinning heel kick. For being a low-budget action movie, it does have good sets and great stunts. Van Damme says some humorous lines and shows that he's improving as an actor. I'm glad he's back to dealing out some Van Damage...i've been let down by the lack of fighting in his recent films. Scott Adkins is great in his role and Van Damme and him have a 1 on 1 showdown at the end. Overall, it's one of Van Damme's better films and it will keep you entertained. A must rent for JCVD fans. I'm just keeping my fingers crossed for another martial arts epic like ""Bloodsport"" or ""Kickboxer"". Nok Su Kow!",positive
"Just re-saw this movie after thirty seven years. I was eleven years old and caught this flick on South Beach at the long gone Cinema Theater on Washington Avenue. In 1969, I thought Where it's At! was a very good movie. Now, however, after almost forty years, it's not as good as it was. Times have changed, and this movie is now a tired old re-hash of the war between the generations. It did however, catch a place in time which is just a memory. It's really interesting to see the mod fashions, the old Vegas, a slim Don Rickles, chain smoking, and a hip opening song. The acting was decent, the script somewhat out-dated, but the memories were still fresh. Where it's At, may not be where it's at for you, but for me, it was still a nice and entertaining trip down memory lane.",positive
"Simon Pegg plays a rude crude and often out of control celebrity journalist who is brought from England to work for a big American magazine. Of course his winning ways create all sorts of complications. Amusing fact based comedy that co stars Kristen Dunst (looking rather grown up), Danny Huston, and Jeff Bridges. It works primarily because we like Simon Pegg despite his bad behavior. We completely understand why Kristen Dunst continues to talk to him despite his frequent screw ups. I liked the film. Its not the be all and end all but it was a nice way to cap off an evening of sitting on the couch watching movies. 7 out of 10",positive
"A group of cavers with a sad history take an author on a 'hairy' adventure through an uncharted cave in Kazakhstan. In these times of remakes and sequels and film companies trying to cash in on any winning combination of cinematic components, The Cavern has only one relatively different twist on the previous eight cave movies over the last few years, and that twist seems to be taken from an X-File. I like to give every film the benefit of the doubt, but there were just too many little annoyances for me here. The camera work can give you a headache as they seem to constantly confuse which way is up. Not being a caver, it doesn't really matter to me whether the filming was realistic. There is entirely too much unnecessary PANNICK from supposedly experienced cavers, by the last half you're saying out loud one of two things ? oh just shut up and concentrate on saving yourselves, or I hope you all die by the end. It must have been very tiring for these decent actors to make this film. A moderate amount of gore and nothing special in the dialog or characters. While you're pretty confident you know what's going on by the end, the last five minutes explain all the details. But I would have had a better opinion of the movie if they would have left the last minute on the cutting room floor. It just wasn't necessary. I suggest you hit eject immediately after your suspicions are confirmed and save yourself the setup for the sequel. I've long thought that the film industry should share a modified restaurant industry's checkout scheme. You pay for the materials to make the film before you go in, but any profits for the film come from the tips you give when you leave the cinema. I can't blame what I don't like about this film on its low budget.",negative
"There are really two sections of this film. Firstly there's the laughable prologue to the film which is so hysterical and cornball that it would almost feel appropriate that the 'The Simpsons' Troy McClure should be doing the narration. Then the rest of the film begins (starting off with a title song which really doesn't fit in with the rest of the film) which, while technically OK, is killed by a vague, inconsistent and unconvincing plot and not just uninteresting characters, but characters that make no sense. This is especially so with Mickey Rooney's Spiventa, who was supposedly in on the plot and part of the 'organisation' the whole time yet what would have happened had Hackman made the seemingly arbitrary decision to take him along when breaking out? In that case he would've been a totally superfluous and unnecessary character, which in the end he still is. The overall problem of the film is that it's totally unwilling to put any detail on who or what is behind this conspiracy. It's as if the filmmakers didn't have the courage to imply that a particular section of society would be capable of creating such an organisation and instead settled on the hope that a lack of explanation would suffice and the audience would form their own conclusions. Put simply, the film fails on all levels.",negative
"Kind of hard to believe that the movie from this book could succeed in topping its awfulness! The plot is so contrived and unbelievable. . . starting with laying a ton of guilt on a small child to spare her pain! Then we have the collusive behavior of at least six and maybe more people(including clergy) involved in what is a crime everywhere. Next we have a wife who seemingly in the length of a ferry ride goes from being comparatively happy to very shortly kicking over the traces. A very unpleasant and coo coo mother, aided, abetted and supported by a politically correct group of friends! Moving the setting from an island off the coast of South Carolina, did not help the story although it may have helped the film makers budget. The very beautiful buildings supposedly housing the monastery did not seem to logically suit an island small enough to need golf carts and such a small ferry service. Kim Basinger whom I do really like is painfully thin in this movie and her hairdo certainly belongs in another decade. Also there is simply no chemistry at all between her and either of the male leads. I thoroughly disliked the book from which this was taken but did read it all. The movie I kept surfing back and forth to, had to leave whenever that saccharine music got too much. Unless you like an unbelievable story, wooden acting, a contorted mixture of religious/mythological/allegory my advice is to skip this one. Oh and maybe a small carping criticism, but wouldn't a caring father have a life jacket on a small child on a small boat? The best part of this movie is the scenery",negative
"Maybe I'm a sap but this is the sweetest movies ever! I saw it for the first time when I was around 4 or 5, and I cried my eyes out. Between then and now (embarrassed at age 15) I have seen it over 25 times and have sobbed each and every one of them. Don't worry they're tears of happiness! And it's not all sap! There's a lot of humor and comedy in it too. Usually the whole talking animal thing can be a huge drag but in this movie it's not the case. My only word of advice: Even if you love this-Don't see the sequal...cornyness! I suggest everyone checks this out...you won't be sorry, no matter how old or young you are!",positive
"In my opinion, a good documentary - especially one dealing with controversial political issues - should be informative and as unbiased as possible. The point should be revealing the truth. This means, in particular, having among the interviewees experts on the subject and representatives of all sides. This film is a failure in this regard. Most of the interviews included in this film consist of ""men off the street"" expounding on the question of peace in the Holy Land. The wall itself, the supposed subject of the film, is given no serious treatment at all. For most of the interviews, the interviewer simply waits to be approached and asks general questions such as ""what do you think of the wall?"" - she does not approach random people near the wall and ask them how they have been directly affected by it. Outside of one interviewee, the Israeli general in charge of the wall's construction, we have no ""experts"" on the subject to provide us with the wall's context (e.g. how and when the project began, whether it has been successful, which groups are for and which against the project, etc.) Outside of the interviews, a very large portion of the film consists of extended shots of uneventful scenes, such as head-on shots of the wall, construction of the wall, and people getting off a bus. These shots take up far too much time, in my opinion. It's nice to see what the wall looks like, but the 20-30 minutes of head-on filming of the wall (and only the wall) are excessive. Clearly, these shots (accompanied by Arabic music that conveys a sense of mourning) are included for the sole purpose of arousing in viewers feelings of loathing for the wall.",negative
"""Gunga Din"": one of the greatest adventure stories ever told! A story about the British Foreign legion in 19th century India and a lowly ""water-bearer"" named Gunga Din, a local denizen who aspires to be just like his military counterparts; three British sergeants whose loyalty and camaraderie for each other extend far beyond the bounds of mere patriotism. Their's is a true and abiding friendship for one another and each would be willing to sacrifice his own life for the good of the other. Gunga Din longs to be a soldier too, a Bugler in particular, but can never attain that rank due to his subordinate social standing. However, heroes are not made according to their social credentials, they're made through their willingness to sacrifice for the greater good of others. Gunga Din tries at every turn to prove his mettle, but will he ever attain the rank he so passionately seeks?....""You're a better man than I am, Gunga Din""! One of Hollywood's classics and a perfect 10!!!!",positive
"You know all those letters to ""Father Christmas"" and ""Jesus"" that are sent every year? Well, it turns out that they are not actually delivered but dropped off in a half-forgotten corner of the post office to rot unless some bright spark figures out a way of posting them. As bizarre settings go, it's a winner and one which perfectly fits the strange movie that is ""Dead Letter Office"". Having said that, this is obviously an Australian film as opposed to a British one. If it was Royal Mail, most letters get this sort of treatment anyway. I haven't been in this flat for two years and we're still getting letters for a Mr Wang, some female priest of the Church of Latter Day I've-Never-Heard-Of-You and various catalogues for industrial equipment addressed to a plumbing company. ""Dead Letter Office"" (the name given to the place where undeliverable mail ends up) follows the story of Alice (Miranda Otto) who grows up in a seriously divided home. Writing to her absent father, she only learns in adulthood that her letters haven't been delivered for one reason or another. So, logically, she gets a job at the D.L.O. and finds herself working alongside other social rejects including the brooding Chilean immigrant Frank Lopez (George Del Hoyo). Slowly, she finds herself drawn to him but can she find out where her dad is without bringing the self-contained world of the Dead Letters Office to its knees? Nothing against this film but I was reminded of the god-awful Heather Graham film ""Committed"" while watching this. However, this is so much better than that pile of horse crap but then again, that ain't difficult. For a start, this film is much more logical. True, the metaphors are somewhat blatant and the underflowing symbolism quickly becomes a flood. But at least this is cohesive and quirky without being complete drivel. It is also well acted. Both Otto and Del Hoyo are very good as the lovers looking for something they know they'll never find while other characters are peripheral at best. Part of the trouble is that it seems to wrap up far too quickly, leaving this viewer somewhat disappointed. The other part is that when you consider Australia's draconian immigration policy (i.e. if you don't speak English, rack off!), such a story is unlikely to take place in reality. The other characters, sadly, also help to destabilise the realism by proving to be little more than odd-ball stereotypes. Despite that, ""Dead Letter Office"" is certainly something a little different. It might not be to everyone's taste but I liked it. Yes, it was hackneyed and predictable but sometimes, it's nice to watch a film without guns or violence or heavy-duty swearing and nudity (no chance of that in an Australian film). There ain't any major laughs, there's no Bullet Time and the characters are usually one-dimensional. But it's the story that counts here and while it's not earth-shattering in its magnificence, it's a pleasant enough way of passing the time. It's the movie equivalent of a Sheryl Crow CD - nice to listen to now and again but you wouldn't really miss it if it wasn't there.",negative
"I consider this movie a masterpiece, but it took me at least 4 o 5 times to see it, so as to realize what a great movie it was. First, it describes a face of WW2 that we don't usually see in Hollywood movies. In particular, German soldiers, army and the Nazi government are shown more ""humanized"". One of the facts that impressed me most was the mention, by the end of the movie, of a murder that took place in a forest in the last 20's... that forest is the place where the final chapters of Berlin Alexanderplatz take place: those are the woods where Reinhold kills Mieze. Another clue for those who like the details, is the representation of doors. Fassbinder is obsessed with the changes in people each time they walk across a door, or a door is opened. Many doors are shown in the screen, opened and closed. And the characters change in their personality, their acts, etc any time that happens. Have you noticed that?",positive
"What can you say after watching this movie? That is, if you had the interest and concentration to see it to the end. I was left speechless, due to the amazingly dull story, annoying situations where one American equals that of a fifty or more Iraqis, and boring dialogue. I think that if this movie has something to teach, it probably goes like ""Don't screw with US, or we'll come and kick your butts"". Plus, this film truly encourages and votes for killing masses of foreigners, in the name of war. I got the image of tackling chess pieces out of the playing board. Except, now it's fast and there's not so much thinking. And on top of that.. no character there has any spirit; then, how can you care at all what happens to any of them. Excluding war movie fans with no taste, I wouldn't recommend this to anyone. There should always be something more interesting to do.",negative
"For the life of me I can not understand the blind hype and devotion to this totally unbelievable movie......and I think I have the qualifications to say so.... I am a former Special Operations soldier with 14 years in the ""lifestyle"" ... This movie was totally totally unreal and obviously written by someone that did very little research into life in the Army, in combat or at a team or platoon level. Three EOD guys trouncing around Bagdad on their own????? Get Real... No chain of command????? Get Real... EOD clearing buildings??? Get Real....EOD/ Military Intelligence / Sniper qualified buck sergeant???? Get Real.... Wait... I shot and killed a bad guy and then let two guys take me without firing another shot or being injured at all???? Get Real....I carjack an Iraqi civilian, while I am only armed with a 9 mil, break into another civilians house, get punked by his wife then make it back to camp on foot in the middle of Bagdad at night without as so much as a scratch or confrontation???? Get Real... There is absolutely no adherence to military protocol {Army} and no resemblance at all to any Army unit that I have even encountered. Totally unbelievable and disrespectful to the men and women of EOD who contrary to this poor film are not wild adrenaline seeking yahoos but extremely qualified professionals doing an incredibly hard job.",negative
"So it might not be entirely historically accurate. And there is little or no real character development. But for Jake (son of Ridley) Scott's first attempt, it's well worth the ticket price. Captain James MaCleane (Jonny Lee Miller looking as good as ever) may be a gentleman, but he hasn't got the money or the clothes to prove it. Plunkett (Robert Carlyle with all his clothes on) is an apothecary-turned-outlaw. The circumstances of their strange meeting involve a dead body, a ruby, and eventually a partnership as the Gentlemen Highwaymen. As the tag line says, ""they rob the rich... and that's it."" There isn't really much background, or even in-depth development, but the object seems to be to relieve the aristocracy of enough money and jewels to pay for the two Highwaymen's passage to America. One small problem: MaCleane falls in love. With the Chief Justice's ward, Rebecca (Liv Tyler). Who happens to also have caught the eye of the Thief Taker General. The plot is original enough, the casting is excellent (especially Alan Cumming as the drag-queenish Lord Rochester, Carlyle and Miller--also together in ""Trainspotting,"" they haven't lost their dynamic), the costuming is fantastic, the makeup is outrageous, and the music is hard-edged techno with a strangely classical undertone. Jake Scott has an eye for light and shadow, a good sense of balance between spectacle and plot, and he isn't squeamish about showing the more unpleasant side of 17th century London. And lucky for us, he likes close-ups of faces, especially eyes. Jonny Lee Miller's eyes. And Liv Tyler's, too, but hey, who is this movie about? Rebecca? No. Plunkett and MaCleane. But there's more to this movie than just pretty faces. At the risk of sounding cliche, it's a fast, furious, and sometimes frustrating ride with the most noble highwaymen since Robin Hood. Decadent, sleazy, and violent, Scott's debut film makes for an entertaining evening at the movies. As MaCleane says, ""I was terrific, and it was a bloody good laugh!""",positive
"This made for television version of the legendary stand against hopeless odds is more objective, more realistic than earlier filmed versions of the events, though the one movie made after this went perhaps too far in humanizing the figures of Sam Houston, Bowie, Travis and Crockett. The focus here is on Jim Bowie, played with sharp, cynical detachment by James Arness who is apparently still alive at age 85. Then 65, he made a comeback to acting after years away from the screen to do this part. Puerto Rican-born Raul Julia humanizes Gen. Santa Ana as no one since J. Carol Naish back in '54 had done. However, the Mexican dictator is portrayed as a lecherous, vainglorious popinjay--gaudier uniforms have never been seen before or since. He receives excellent advice from the European officers he has hired but, convinced of his own infallibility, he does not heed it. Alec Baldwin is the one actor whose age is appropriate to the character he plays: Col. William Travis. His portrayal is earnest. He is almost in awe of the older men who share command with him. The one jarring note was Brian Keith as Crockett. In a coonskin cap and carrying Ol' Betsy, he stumbles about as if he had wandered in from another movie. With no conviction in the portrayal, the character is reduced to a few stage conventions. The script reveals some historical facts overlooked or suppressed in earlier film versions. We learn that Jim Bowie was, in the person of Santa Ana, fighting his own brother-in-law. The Mexican soldiers performed poorly in part because they were armed with rifles left over from the Napoleonic Wars a generation earlier. ""Santa Ana likes a bargain."" Bowie wryly explains. The whole project of defending the former Spanish mission as a fort was militarily ill- advised--a fact explored in greater depth in the 2004 film ""The Alamo"".",positive
"Hollywood Hotel was the last movie musical that Busby Berkeley directed for Warner Bros. His directing style had changed or evolved to the point that this film does not contain his signature overhead shots or huge production numbers with thousands of extras. By the last few years of the Thirties, swing-style big bands were recording the year's biggest popular hits. The Swing Era, also called the Big Band Era, has been dated variously from 1935 to 1944 or 1939 to 1949. Although it is impossible to exactly pinpoint the moment that the Swing Era began, Benny Goodman's engagement at the Palomar Ballroom in Los Angeles in the late summer of 1935 was certainly one of the early indications that swing was entering the consciousness of mainstream America's youth. When Goodman featured his swing repertoire rather than the society-style dance music that his band had been playing, the youth in the audience went wild. That was the beginning, but, since radio, live concerts and word of mouth were the primary methods available to spread the phenomena, it took some time before swing made enough inroads to produce big hits that showed up on the pop charts. In Hollywood Hotel, the appearance of Benny Goodman and His Orchestra and Raymond Paige and His Orchestra in the film indicates that the film industry was ready to capitalize on the shift in musical taste (the film was in production only a year and a half or so after Goodman's Palomar Ballroom engagement). There are a few interesting musical moments here and there in Hollywood Hotel, but except for Benny Goodman and His Orchestra's ""Sing, Sing, Sing,"" there isn't a lot to commend. Otherwise, the most interesting musical sequences are the opening ""Hooray for Hollywood"" parade and ""Let That Be a Lesson to You"" production number at the drive-in restaurant. The film is most interesting to see and hear Benny Goodman and His Orchestra play and Dick Powell and Frances Langford sing.",negative
excellent drama. very dark. i have never seen california photographed in such a way. bridget fonda as the deaf wife beaten by her husband is superb. the film gripped me from start to finish. very understated performance by sutherland. the direction was very european. amazing to get such a performance from fonda.,positive
"Basically a typical propaganda film for the last good war. But there were a couple things that struck me. First was the use of mouthed epithets. In two cases the Scott character mouths one, once at the beginning when he drops his bomb off target during the bomb-off (""dammit"") and once when he is trying to sway a bombardier into being a pilot (""s*%t""). I could be wrong about the second instance but I replayed it several times and that's what it looks like to me. The third case is when the Anne Shirley character wishes the O'Brien character goodbye and good luck (""Give 'em hell"") over the roar of the engines. She must have thought that was too unladylike because she clearly says ""heck"". I also found interesting the character that has moral problems with bombing, specifically bombing civilians. The avuncular superior officer assures him that only military targets will be hit due to the precision of the bombsight used. Given what we know about the LeMay's later strategy of firebombing Japanese cities into oblivion this scene plays with not a little irony. I remember McNamara's quoting of LeMay in ""The Fog of War"", something to the effect that if the US did not win the conflict he would be tried as a war criminal. The ending is way overwrought, in keeping with the movie. It reminded me a bit of the end of White Heat (I'm not comparing the films, just the ending!). Maybe it's just 'cause he gets blowed up. Blowed up real good!!!",negative
"First off, this is an excellent series, though we have sort of a James Bond effect. What I mean is that while the new Casino Royale takes place in 2006, it is chronologically the first adventure of 007, Dr. No (1962) being the second, while in Golden Eye, the first film with Pierce Brosnan, Judi Dench is referred to as the new replacement for the male ""M"" so how could she have been in place in the beginning before Bond became a double-0, aside from the fact that she is obviously 14 years older? This is more or less a ""poetic"" license to thrill. We need to turn our heads aside a bit if we wish to be entertained. No, the new Star Trek movie does not have any of the primitive electronics of the original series from nearly half a century ago. In the 1960's communicators were fantasy. (now we call them cell phones) and there were sliding levers instead of buttons. OMG, do you think 400 years from now, they would have perfected Rogaine for Jean-Luc Picard? So, please, let's give the producers some leeway. But to try and make things a bit consistent, let us just ponder about the Cylons creation just 60 years prior to the end of Battlestar Galactica. If that is the case, where did all the Cylons that populated the original earth come from? We know that the technology exists for spontaneous jumps through space. Well, what happened if one of the Cyclon ships at war with the Caprica fleet was fired upon or there was a sunspot or whatever and one ship, loaded with human-looking Cylons, wound up not only jumping through space, but through time, back a thousand or ten thousand years with a crippled ship near Earth One. They colonized it, found out they could repopulate it and eventually destroyed themselves, but not before they themselves sent out a ""ragtag"" fleet to search for the legendary Caprica, only to find a habitable but unpopulated planet, which they colonized to become the humans, who eventually invented the Cylons. Time paradox? Of course. Which came first, the chicken or the road? Who cares? It's fraking entertaining!",positive
"The Italian concept of ""sprezzatura"" was the grace and nonchalance in social manners that led to success in love, as described in the 16th century manual ""The Courtier."" The film ""Hitch"" is worth watching for the embodiment of the ""sprezzzatura"" concept in the dynamic performance of Will Smith. Smith plays the character of Alex ""Hitch"" Hitchens, who is a professional dating consultant to those short on luck and confidence. The best scenes are when Hitch coaches the painfully shy and maladroit Albert in his quest to win the heart of a New York socialite and in Hitch's own attraction to Sara and a surprise for her when visiting Ellis Island. In these scenes, Smith is supported with good work from Kevin James and Eva Mendes. But this film is driven by the charm and winsome personality of Smith. From start to finish, Smith rises above the average comic script to make ""Hitch"" an eminently watchable and entertaining film. I do not believe there is another actor working today who is capable of delivering the charisma and the perfect timing with the comic moments like Will Smith in this film. And his secret is in the ""sprezzatura""!",positive
"Not much to say other than it is simply a masterpiece. this film contains a myriad of messages that all should take to heart. especially- women do not squelch your man's dreams -honor them -that's why you loved him in the first place! Those who plan for death will live in the grave. Those who carpe diem will awaken those who live in fear. Even our Lord spoke of this when he chastised the the one who buried his talent in fear that he might make a mistake and displease the Master. Take a risk, get out of the boat and you will walk on water. Life is a journey that does not end in the grave but in our minds and souls.",positive
"The Last Hard Men finds James Coburn an outlaw doing a long sentence breaking free from a chain gang. Do he and his friends head for the Mexican border from jail and safety. No they don't because Coburn has a mission of revenge. To kill the peace officer who brought him in and in the process killed his woman. That peace officer is Charlton Heston who is now retired and he knows what Coburn is after. As he explains it to his daughter, Barbara Hershey, Coburn was holed up in a shack and was involved in a Waco like standoff. His Indian woman was killed in the hail of bullets fired. It's not something he's proud of, she was a collateral casualty in a manhunt. Lest we feel sorry for Coburn he lets us know full well what an evil man he truly is. Heston is his usual stalwart hero, but the acting honors in The Last Hard Men go to James Coburn. He blows everyone else off the screen when he's on. Coburn gets the bright idea of making sure Heston trails him by kidnapping Hershey and taking her to an Indian reservation where the white authorities can't touch him. He knows that Heston has to make it personal then. Coburn's gang includes, Morgan Paull, Thalmus Rasulala, John Quade, Larry Wilcox, and Jorge Rivero. Heston has Chris Mitchum along who is his son-in-law to be. The Last Hard Men is one nasty and brutal western. Andrew McLaglen directed it and I'm thinking it may have been a project originally intended for Sam Peckinpaugh. It sure shows a lot of his influence with the liberal use of slow motion to accentuate the violence. Of which there is a lot. For a little Peckinpaugh lite, The Last Hard Men is your film.",positive
